Portugues,Ingles,Italiano,Espanhol,Alemao,Frances,Mandarim
Hora de acordar!,Time to wake up!,È ora di svegliarsi!,¡Es hora de despertar!,Zeit zum Aufwachen!,Il est temps de se réveiller!,该起床了！ (Gāi qǐchuáng le!)
Você arrumou sua cama?,Did you make your bed?,Hai rifatto il letto?,¿Hiciste tu cama?,Hast du dein Bett gemacht?,As-tu fait ton lit?,你整理床铺了吗？ (Nǐ zhěnglǐ chuángpù le ma?)
Você escovou os dentes?,Did you brush your teeth?,Ti sei lavato i denti?,¿Te cepillaste los dientes?,Hast du deine Zähne geputzt?,As-tu brossé tes dents?,你刷牙了吗？ (Nǐ shuāyá le ma?)
Hora de tomar banho.,Time to take a bath.,È ora di fare il bagno.,Es hora de bañarse.,Es ist Zeit zum Baden.,Il est temps de prendre un bain.,该洗澡了！ (Gāi xǐzǎo le!)
Vamos ler uma história antes de dormir.,Let’s read a story before bed.,Leggiamo una storia prima di andare a letto.,Leamos una historia antes de dormir.,Lesen wir eine Geschichte vor dem Schlafengehen.,Lisons une histoire avant de dormir.,睡觉前我们读个故事吧。(Shuìjiào qián wǒmen dú gè gùshì ba.)
Você fez sua mochila?,Did you pack your school bag?,Hai preparato la tua cartella?,¿Empacaste tu mochila?,Hast du deine Schultasche gepackt?,As-tu fait ton sac?,你整理书包了吗？ (Nǐ zhěnglǐ shūbāo le ma?)
Termine seus vegetais por favor.,Finish your vegetables please.,Finisci le tue verdure per favore.,Termina tus vegetales por favor.,Bitte iss dein Gemüse auf.,"Finis tes légumes, s'il te plaît.",请把蔬菜吃完。(Qǐng bǎ shūcài chī wán.)
O café da manhã está pronto!,Breakfast is ready!,La colazione è pronta!,¡El desayuno está listo!,Das Frühstück ist fertig!,Le petit-déjeuner est prêt!,早餐好了！ (Zǎocān hǎo le!)
Você gostaria de mais um pouco?,Would you like some more?,Ne vuoi ancora?,¿Te gustaría un poco más?,Möchtest du noch etwas?,En veux-tu un peu plus?,你还想要一些吗？ (Nǐ hái xiǎng yào yīxiē ma?)
Passe-me o sal por favor.,Pass me the salt please.,Passami il sale per favore.,Pásame la sal por favor.,Gib mir bitte das Salz.,"Passe-moi le sel, s'il te plaît.",请把盐递给我。(Qǐng bǎ yán dì gěi wǒ.)
Hora de acordar!,Time to wake up!,È ora di svegliarsi!,¡Es hora de despertar!,Zeit zum Aufwachen!,Il est temps de se réveiller!,该起床了！ (Gāi qǐchuáng le!)
Você arrumou sua cama?,Did you make your bed?,Hai rifatto il letto?,¿Hiciste tu cama?,Hast du dein Bett gemacht?,As-tu fait ton lit?,你整理床铺了吗？ (Nǐ zhěnglǐ chuángpù le ma?)
Você escovou os dentes?,Did you brush your teeth?,Ti sei lavato i denti?,¿Te cepillaste los dientes?,Hast du deine Zähne geputzt?,As-tu brossé tes dents?,你刷牙了吗？ (Nǐ shuāyá le ma?)
Hora de tomar banho.,Time to take a bath.,È ora di fare il bagno.,Es hora de bañarse.,Es ist Zeit zum Baden.,Il est temps de prendre un bain.,该洗澡了！ (Gāi xǐzǎo le!)
