Categoria,Português,Inglês
Saudação,Bom dia!,Good morning!
Saudação,Boa tarde!,Good afternoon!
Saudação,Boa noite!,Good evening!
Saudação,Olá; como você está?,Hello; how are you?
Saudação,Oi; tudo bem?,Hi; how’s it going?
Instrução,Por favor; abra o livro.,Please; open the book.
Instrução,Feche a janela; por favor.,Close the window; please.
Instrução,Prestem atenção; por favor.,Pay attention; please.
Instrução,Leiam a frase em voz alta.,Read the sentence aloud.
Instrução,Escrevam isso no caderno.,Write this in your notebook.
Pergunta,Posso ir ao banheiro?,Can I go to the bathroom?
Pergunta,Qual é a próxima atividade?,What’s the next activity?
Pergunta,Como faço este exercício?,How do I do this exercise?
Pergunta,Quantos minutos restam?,How many minutes are left?
Pergunta,Quando é o próximo teste?,When is the next test?
Pedido,Poderia me ajudar com essa pergunta?,Could you help me with this question?
Pedido,Pode emprestar uma caneta?,Can I borrow a pen?
Pedido,Posso falar com você depois da aula?,Can I talk to you after class?
Pedido,Poderia repetir; por favor?,Could you repeat; please?
Pedido,Pode explicar novamente?,Can you explain again?
Resposta,Sim; eu entendi.,Yes; I understood.
Resposta,Não; eu não entendi.,No; I didn’t understand.
Resposta,Estou confuso com isso.,I’m confused about this.
Resposta,Acho que cometi um erro.,I think I made a mistake.
Resposta,Entendi agora; obrigado.,I understand now; thank you.
Orientação,Não se esqueça de fazer a lição de casa.,Don’t forget to do your homework.
Orientação,Mantenham a sala limpa.,Keep the classroom clean.
Orientação,Respeitem os colegas.,Respect your classmates.
Orientação,Sigam as instruções com cuidado.,Follow the instructions carefully.
Orientação,Trabalhem em silêncio; por favor.,Work quietly; please.
Motivação,Você consegue fazer isso!,You can do it!
Motivação,Continue tentando.,Keep trying.
Motivação,Não desista!,Don’t give up!
Motivação,Estou orgulhoso de você.,I’m proud of you.
Motivação,Boa tentativa!,Good try!
Reclamação,Está muito barulhento aqui.,It’s too noisy here.
Reclamação,Por favor; não interrompa.,Please; don’t interrupt.
Reclamação,Preste atenção ao seu comportamento.,Pay attention to your behavior.
Reclamação,Isso não está correto.,This is not correct.
Reclamação,Precisamos resolver isso.,We need to fix this.
Despedida,Até logo!,See you later!
Despedida,Nos vemos amanhã.,See you tomorrow.
Despedida,Tenha um bom fim de semana!,Have a nice weekend!
Despedida,Descanse bem!,Rest well!
Despedida,Tchau; até a próxima aula!,Bye; see you next class!
Feedback,Bom trabalho!,Good job!
Feedback,Você pode melhorar aqui.,You can improve here.
Feedback,Continue assim.,Keep it up.
Feedback,Você está no caminho certo.,You’re on the right track.
Feedback,Excelente esforço!,Excellent effort!
